run_id,id,d_hat,rho,gamma,epsilon,lambda,t_min,t_max,dt_target,dt_applied_w2,order_idx,ts_start_iso,ts_end_iso,dt_applied,renderer,notes
2021_g1.0_e0.1_l0.5,ncaf_2021_0051,0.0756134018301963,0.0731619521975517,1.0,0.1,0.5,0.2,1.2,0.2980113787143626,,50,2025-10-28T00:31:04.709228+00:00,2025-10-28T00:31:05.012052+00:00,0.302798,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0052,0.6215406060218811,0.2692128419876098,1.0,0.1,0.5,0.2,1.2,0.8715320379938193,,51,2025-10-28T00:31:05.013185+00:00,2025-10-28T00:31:05.887962+00:00,0.87476,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0053,0.3149743974208832,0.1612855345010757,1.0,0.1,0.5,0.2,1.2,0.5838610833881429,,52,2025-10-28T00:31:05.889937+00:00,2025-10-28T00:31:06.477920+00:00,0.587973,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0054,0.7958882451057434,0.4228169918060303,1.0,0.1,0.5,0.2,1.2,1.1512359901668716,,53,2025-10-28T00:31:06.478689+00:00,2025-10-28T00:31:07.633392+00:00,1.154682,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0055,0.2364107817411422,0.1025611013174057,1.0,0.1,0.5,0.2,1.2,0.5128173346419428,,54,2025-10-28T00:31:07.634398+00:00,2025-10-28T00:31:08.149536+00:00,0.515128,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0056,0.3647075891494751,0.2096656560897827,1.0,0.1,0.5,0.2,1.2,0.6154107616819527,,55,2025-10-28T00:31:08.150490+00:00,2025-10-28T00:31:08.770966+00:00,0.620466,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0057,0.719809889793396,0.3515552878379822,1.0,0.1,0.5,0.2,1.2,1.0388355381913177,,56,2025-10-28T00:31:08.772113+00:00,2025-10-28T00:31:09.812437+00:00,1.040306,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0058,0.5848690867424011,0.3624428212642669,1.0,0.1,0.5,0.2,1.2,0.9387582800943256,,57,2025-10-28T00:31:09.814020+00:00,2025-10-28T00:31:10.755137+00:00,0.941096,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0059,0.4491303861141205,0.1595974415540695,1.0,0.1,0.5,0.2,1.2,0.7166525539323764,,58,2025-10-28T00:31:10.756780+00:00,2025-10-28T00:31:11.478522+00:00,0.721729,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0060,0.176503449678421,0.0852248072624206,1.0,0.1,0.5,0.2,1.2,0.4224896834503544,,59,2025-10-28T00:31:11.480123+00:00,2025-10-28T00:31:11.906634+00:00,0.426502,opencv,w3 baseline run
