run_id,id,d_hat,rho,gamma,epsilon,lambda,t_min,t_max,dt_target,dt_applied,order_idx
2021_g1.0_e0.1_l0.5,ncaf_2021_0075,0.36861807107925415,0.11085648834705353,1.0,0.1,0.5,0.2,1.2,0.5871572906646215,,74
2021_g1.0_e0.1_l0.5,ncaf_2021_0076,0.4410785734653473,0.1703917384147644,1.0,0.1,0.5,0.2,1.2,0.6864980034573531,,75
2021_g1.0_e0.1_l0.5,ncaf_2021_0077,0.5266245007514954,0.25542503595352173,1.0,0.1,0.5,0.2,1.2,0.8088206065084421,,76
2021_g1.0_e0.1_l0.5,ncaf_2021_0078,0.2443925440311432,0.09530960023403168,1.0,0.1,0.5,0.2,1.2,0.49415312601021644,,77
2021_g1.0_e0.1_l0.5,ncaf_2021_0079,0.4106099009513855,0.1791631281375885,1.0,0.1,0.5,0.2,1.2,0.6501712572565055,,78
2021_g1.0_e0.1_l0.5,ncaf_2021_0080,0.1606331318616867,0.07399268448352814,1.0,0.1,0.5,0.2,1.2,0.3984569937358229,,79
2021_g1.0_e0.1_l0.5,ncaf_2021_0081,0.7078087329864502,0.2981056571006775,1.0,0.1,0.5,0.2,1.2,0.9829595473984066,,80
2021_g1.0_e0.1_l0.5,ncaf_2021_0082,0.06090642884373665,0.07960264384746552,1.0,0.1,0.5,0.2,1.2,0.3331117773366767,,81
2021_g1.0_e0.1_l0.5,ncaf_2021_0083,0.3014850616455078,0.07090352475643158,1.0,0.1,0.5,0.2,1.2,0.5005090666134199,,82
2021_g1.0_e0.1_l0.5,ncaf_2021_0084,0.4493637681007385,0.29094403982162476,1.0,0.1,0.5,0.2,1.2,0.7248142094435226,,83
2021_g1.0_e0.1_l0.5,ncaf_2021_0085,0.3174344003200531,0.16686582565307617,1.0,0.1,0.5,0.2,1.2,0.5731007190965758,,84
2021_g1.0_e0.1_l0.5,ncaf_2021_0086,0.23477359116077423,0.08612153679132462,1.0,0.1,0.5,0.2,1.2,0.4633202654445239,,85
2021_g1.0_e0.1_l0.5,ncaf_2021_0087,0.295004665851593,0.09528137743473053,1.0,0.1,0.5,0.2,1.2,0.5132637895335488,,86
